date,symbol,timestamp,decision_time,decision_target_timestamp,decision_lag_seconds,label,valid_label,feature_signal,feature_liquidity
2022-01-03,000001.SZ,2022-01-03 09:31:00,09:31:00,2022-01-03 09:31:00,0,-0.012,true,-1.0,2.0
2022-01-03,000002.SZ,2022-01-03 09:31:00,09:31:00,2022-01-03 09:31:00,0,0.0,true,0.0,3.0
2022-01-03,600000.SH,2022-01-03 09:31:00,09:31:00,2022-01-03 09:31:00,0,0.012,true,1.0,4.0
2022-01-04,000001.SZ,2022-01-04 09:31:00,09:31:00,2022-01-04 09:31:00,0,-0.0095,true,-0.75,4.0
2022-01-04,000002.SZ,2022-01-04 09:31:00,09:31:00,2022-01-04 09:31:00,0,0.0025,true,0.25,6.0
2022-01-04,600000.SH,2022-01-04 09:31:00,09:31:00,2022-01-04 09:31:00,0,0.0145,true,1.25,8.0
2022-01-05,000001.SZ,2022-01-05 09:31:00,09:31:00,2022-01-05 09:31:00,0,-0.007,true,-0.5,6.0
2022-01-05,000002.SZ,2022-01-05 09:31:00,09:31:00,2022-01-05 09:31:00,0,0.005,true,0.5,9.0
2022-01-05,600000.SH,2022-01-05 09:31:00,09:31:00,2022-01-05 09:31:00,0,0.017,true,1.5,12.0
2022-01-06,000001.SZ,2022-01-06 09:31:00,09:31:00,2022-01-06 09:31:00,0,-0.0045,true,-0.25,8.0
2022-01-06,000002.SZ,2022-01-06 09:31:00,09:31:00,2022-01-06 09:31:00,0,0.0075,true,0.75,12.0
2022-01-06,600000.SH,2022-01-06 09:31:00,09:31:00,2022-01-06 09:31:00,0,0.0195,true,1.75,16.0
