case,window,horizon,pool,test_month,groups,months,candidate_rows,selected_rows,pool_short_mean_bps,selected_short_mean_bps,short_internal_excess_bps,pool_next_mean_bps,selected_next_mean_bps,next_internal_excess_bps,short_rank_ic,next_rank_ic
w0931_0940_h1m,09:31-09:40,1m,universe,2025Q4,600,3,5124.7283333333335,100.0,-6.740732,5.3024282,12.04316,10.386659882290438,5.790530450418397,-4.596129431872041,0.130428702001779,0.0108866784909719
w0931_0940_h1m,09:31-09:40,1m,pool_L,2022Q1,580,3,3082.5103448275863,100.0,-9.74222,8.667667,18.409887,-34.15569831467221,-0.1109712674558192,34.04472704721639,0.165040183568275,0.0027792973858391
w0931_0940_h1m,09:31-09:40,1m,pool_L,2022Q2,590,3,3128.5542372881355,100.0,-8.5420885,10.981795,19.523882,22.90144638816304,41.32547405937972,18.42402767121668,0.179105012301148,0.0313149570732778
w0931_0940_h1m,09:31-09:40,1m,pool_L,2022Q3,650,3,3200.9615384615386,100.0,-9.805927,7.7133594,17.519287,-27.03416184751501,-11.682304228475855,15.351857619039151,0.158440994929445,0.0079770330139016
w0931_0940_h1m,09:31-09:40,1m,pool_L,2022Q4,600,3,3281.0066666666667,100.0,-8.389646,4.041952,12.431597,28.034020569174547,32.81115497402591,4.777134404851363,0.1453263730558009,0.0155529522242211
w0931_0940_h1m,09:31-09:40,1m,pool_L,2023Q1,590,3,3327.0322033898306,100.0,-7.137821,4.514374,11.652195,25.429931597412757,48.544561068630216,23.11462947121745,0.1563485218822635,0.0189070189980253
w0931_0940_h1m,09:31-09:40,1m,pool_L,2023Q2,590,3,3358.581355932203,100.0,-8.818501,5.7717237,14.590224,5.420361494589133,50.25175289486096,44.83139140027183,0.1453934492362047,0.0096593509327905
w0931_0940_h1m,09:31-09:40,1m,pool_L,2023Q3,640,3,3421.2875,100.0,-7.968338,1.7734339,9.741772,-10.207723901871251,1.3605493853684405,11.568273287239691,0.1431575394643842,-0.0059473396441824
w0931_0940_h1m,09:31-09:40,1m,pool_L,2023Q4,600,3,3458.2116666666666,100.0,-6.7094517,2.7751195,9.484572,8.76106377255482,18.6983214974154,9.93725772486058,0.1355766274545136,-0.0053154296012693
w0931_0940_h1m,09:31-09:40,1m,pool_L,2024Q1,580,3,3475.751724137931,100.0,-8.43288,4.0801206,12.513001,-5.069048736735863,21.284494800709968,26.35354353744583,0.1358666036091212,0.0055281985346242
